feature_id,section_id,center_lon,center_lat,utm_epsg,target_year_now,target_year_past,now_dataset,now_year_used,now_images_in_year,now_distance_m,now_tree_lon,now_tree_lat,now_line_lon,now_line_lat,now_ntrees,past_dataset,past_year_used,past_images_in_year,past_distance_m,past_tree_lon,past_tree_lat,past_line_lon,past_line_lat,past_ntrees,delta_distance_m
52562,0,-80.98015447843484,34.03798915795206,EPSG:32617,2026,2025,NAIP,2023,1,19.547762350048856,-80.98003444560055,34.03768416780284,-80.9800920176748,34.0378538263326,43,NAIP,2021,1,9.490566884630788,-80.98031975493139,34.03812448939859,-80.98021693919489,34.0381244893556,66,-10.057195465418069
52565,0,-81.0298469663413,34.0422621333872,EPSG:32617,2026,2025,NAIP,2023,1,4.084437776285056,-81.02972966718907,34.042338433039006,-81.02977253687759,34.0423293016343,39,NAIP,2021,1,8.883505257567066,-81.02971621183497,34.042394267445566,-81.02977253687759,34.0423293016343,59,4.79906748128201
52568,0,-81.02955300030024,34.02470250007003,EPSG:32617,2026,2025,NAIP,2023,1,14.313925996942633,-81.02934361091165,34.02495159710278,-81.02941500020799,34.024837000193585,6,NAIP,2021,1,16.632972680317607,-81.0293978197355,34.02498632740832,-81.02941500020799,34.024837000193585,16,2.3190466833749745
53321,0,-81.03885190377729,34.0014000478224,EPSG:32617,2026,2025,NAIP,2023,2,2.3742264881707307,-81.03880448108269,34.00130734852283,-81.0387835103517,34.00131973645797,19,NAIP,2021,2,15.61510040715439,-81.03859832157366,34.00132171384292,-81.03876499985839,34.00129800034939,21,13.24087391898366
53411,13,-80.97628029047857,34.061609412879505,EPSG:32617,2026,2025,NAIP,2023,2,1.3228773544939505,-80.97596125235545,34.06186025258441,-80.97595175363533,34.06185131681953,14,NAIP,2021,2,0.32439498601253886,-80.97594728450328,34.06185851372607,-80.97594495523452,34.06185632250435,17,-0.9984823684814117
53562,30,-81.10128691963796,34.05335396397598,EPSG:32617,2026,2025,NAIP,2023,1,1.2562649426283248,-81.1009487916312,34.05292959917977,-81.10094879162786,34.05294092922334,57,NAIP,2021,1,1.1137636151068175,-81.1009487916295,34.05293088437543,-81.10094879162786,34.05294092922334,61,-0.14250132752150724
53563,19,-81.06178640309238,34.05798006996849,EPSG:32617,2026,2025,NAIP,2023,2,7.195044864738799,-81.06138406676395,34.057587696424356,-81.0614560468799,34.05756276312641,3,NAIP,2021,2,31.08640981844309,-81.06173015641194,34.05841859266478,-81.06201144133368,34.05826433848676,5,23.89136495370429
53590,1,-81.1431915126904,34.07315993314202,EPSG:32617,2026,2025,NAIP,2023,1,0.946494541862261,-81.14347488135758,34.073561412504134,-81.14348362983577,34.07355695510621,16,NAIP,2021,1,2.592817449277427,-81.14287802520066,34.07271048040789,-81.14287802521413,34.07273386449467,29,1.646322907415166
53591,50,-81.1429410860489,34.073761430369075,EPSG:32617,2026,2025,NAIP,2023,1,5.296232570350646,-81.14351287758757,34.07353868596643,-81.14350500016668,34.0735859996464,26,NAIP,2021,1,0.1299139461951961,-81.1433627979745,34.07362898781787,-81.14336329102736,34.07363008529814,37,-5.1663186241554495
53686,42,-81.18701531267578,33.99753084615261,EPSG:32617,2026,2025,NAIP,2023,4,11.970834274703718,-81.1871337732605,33.997612327689396,-81.18709374963211,33.99750963944163,71,NAIP,2021,2,10.997236058181322,-81.18667902274905,33.99751749667814,-81.1867157907634,33.997611833328584,84,-0.9735982165223955
53687,1,-81.05237529803996,34.003269274459576,EPSG:32617,2026,2025,NAIP,2023,1,0.5583105934330501,-81.05272099973541,34.003144964526896,-81.0527209997371,34.0031499998816,51,NAIP,2021,1,0.584211381093268,-81.05265303195718,34.003167747271796,-81.05265545327005,34.00317261504848,44,0.02590078766021786
53688,13,-81.05129022769408,34.004164969001,EPSG:32617,2026,2025,NAIP,2023,1,0.03071375773899591,-81.05134497906789,34.00428605636721,-81.05134466755283,34.00428615343463,29,NAIP,2021,1,12.863547161695047,-81.05129779836832,34.003850745761085,-81.05116733009798,34.00389139945236,25,12.832833403956052
53689,15,-81.04815479732511,34.00039864033317,EPSG:32617,2026,2025,NAIP,2023,2,7.675096005949208,-81.04851978306826,34.000135136242825,-81.04856260312414,34.000194462867896,4,NAIP,2021,2,17.452591762002292,-81.04777626547973,34.000407041266804,-81.0478991100915,34.000526656096284,5,9.777495756053085
54191,0,-81.02953109443288,34.042158658579524,EPSG:32617,2026,2025,NAIP,2023,1,1.0436073811070952,-81.02937410457835,34.04206005056115,-81.02938142220363,34.04205287557538,36,NAIP,2021,1,3.8779353534244696,-81.02946100872494,34.04206324518954,-81.02943381721384,34.042089906697896,51,2.834327972317374
54228,43,-81.20899511002516,34.05270743526973,EPSG:32617,2026,2025,NAIP,2023,1,7.12070360151539,-81.20890528872552,34.052406411517985,-81.20895453095241,34.05245585124264,17,NAIP,2021,1,1.1430218245133599,-81.20896834738632,34.052459707739835,-81.20896044297373,34.05245177163249,26,-5.97768177700203
55111,4,-81.04182314903363,33.98047081504206,EPSG:32617,2026,2025,NAIP,2023,1,5.684055345528271,-81.04209162922636,33.98046035323729,-81.04207475666303,33.98041105369064,22,NAIP,2021,1,7.331657665776387,-81.04180191572974,33.98054461775612,-81.04178015261755,33.98048102800073,26,1.647602320248116
55210,36,-80.98364381064168,34.104254792521104,EPSG:32617,2026,2025,NAIP,2023,1,2.289901049763214,-80.98380718769272,34.10460794416117,-80.98382485645784,34.10462245239643,15,NAIP,2021,1,1.6086710416767296,-80.98381302304004,34.10461177233154,-80.98382543546819,34.10462196446502,27,-0.6812300080864844
56272,32,-80.92024242101795,33.88874933452783,EPSG:32617,2026,2025,NAIP,2023,1,13.211319373644173,-80.91967666358387,33.88892862927923,-80.91965887559189,33.8888104024451,25,NAIP,2021,1,13.074422029979004,-80.91964477700954,33.888929797007975,-80.9196447770335,33.88881187778567,26,-0.1368973436651686
